district,timestamp,lat,lon,temp,feels_like,pressure,humidity,clouds,wind_speed,wind_deg,weather_main,weather_desc,PM2_5,FormattedDateTime
Phra Nakhon,1741795200,13.7563,100.5018,303.09,308.04,1009,70,94,5.93,185,Clouds,overcast clouds,36.13,2025-03-12 04:00:00 PM
Phra Nakhon,1741798800,13.7563,100.5018,302.99,308.27,1009,72,89,5.27,192,Clouds,overcast clouds,34.8,2025-03-12 05:00:00 PM
Phra Nakhon,1741802400,13.7563,100.5018,302.09,306.12,1009,72,88,4.79,197,Clouds,overcast clouds,36.31,2025-03-12 06:00:00 PM
Phra Nakhon,1741806000,13.7563,100.5018,302.09,306.5,1008,74,14,4.34,197,Clouds,few clouds,39.42,2025-03-12 07:00:00 PM
Phra Nakhon,1741809600,13.7563,100.5018,302.09,306.5,1008,74,14,3.84,194,Clouds,few clouds,42.85,2025-03-12 08:00:00 PM
Phra Nakhon,1741813200,13.7563,100.5018,302.09,306.7,1008,75,31,3.87,184,Clouds,scattered clouds,46.6,2025-03-12 09:00:00 PM
Phra Nakhon,1741816800,13.7563,100.5018,302.09,306.9,1008,76,46,3.71,186,Clouds,scattered clouds,51.59,2025-03-12 10:00:00 PM
Phra Nakhon,1741820400,13.7563,100.5018,302.09,307.1,1008,77,57,3.5,191,Clouds,broken clouds,58.07,2025-03-12 11:00:00 PM
Phra Nakhon,1741827600,13.7563,100.5018,301.12,303.5,1011,68,100,2.83,175,Clouds,overcast clouds,73.25,2025-03-13 01:00:00 AM
Phra Nakhon,1741870800,13.7563,100.5018,302.56,309.56,1009,93,71,5.97,178,Clouds,broken clouds,46.83,2025-03-13 01:00:00 PM
Phra Nakhon,1741831200,13.7563,100.5018,302.12,304.13,1011,60,100,3.55,179,Clouds,overcast clouds,70.99,2025-03-13 02:00:00 AM
Phra Nakhon,1741874400,13.7563,100.5018,302.47,309.47,1010,94,86,6.43,184,Clouds,overcast clouds,49.42,2025-03-13 02:00:00 PM
Phra Nakhon,1741834800,13.7563,100.5018,305.51,312.51,1011,78,93,3.82,188,Clouds,overcast clouds,66.7,2025-03-13 03:00:00 AM
Phra Nakhon,1741878000,13.7563,100.5018,301.82,308.22,1010,86,72,5.73,186,Clouds,broken clouds,51.02,2025-03-13 03:00:00 PM
Phra Nakhon,1741838400,13.7563,100.5018,306.39,313.39,1011,68,94,4.01,190,Clouds,overcast clouds,43.16,2025-03-13 04:00:00 AM
Phra Nakhon,1741881600,13.7563,100.5018,303.12,310.12,1010,95,67,5.5,191,Clouds,broken clouds,51.28,2025-03-13 04:00:00 PM
Phra Nakhon,1741842000,13.7563,100.5018,306.42,310.92,1010,53,94,4.53,184,Rain,light rain,35.65,2025-03-13 05:00:00 AM
Phra Nakhon,1741885200,13.7563,100.5018,301.91,305.19,1010,69,41,4.69,196,Clouds,scattered clouds,51.04,2025-03-13 05:00:00 PM
Phra Nakhon,1741845600,13.7563,100.5018,307.94,314.94,1008,56,92,4.77,187,Clouds,overcast clouds,32.88,2025-03-13 06:00:00 AM
Phra Nakhon,1741888800,13.7563,100.5018,301.69,304.9,1010,70,6,4.19,196,Clear,clear sky,51.6,2025-03-13 06:00:00 PM
Phra Nakhon,1741849200,13.7563,100.5018,308.49,315.49,1007,56,57,5.07,190,Clouds,broken clouds,31.87,2025-03-13 07:00:00 AM
Phra Nakhon,1741892400,13.7563,100.5018,301.49,304.64,1009,71,17,3.87,189,Clouds,few clouds,57.47,2025-03-13 07:00:00 PM
Phra Nakhon,1741852800,13.7563,100.5018,308.32,315.32,1007,54,79,5.14,186,Clouds,broken clouds,30.6,2025-03-13 08:00:00 AM
Phra Nakhon,1741896000,13.7563,100.5018,301.33,304.31,1009,71,58,3.44,188,Clouds,broken clouds,60.05,2025-03-13 08:00:00 PM
Phra Nakhon,1741856400,13.7563,100.5018,308.52,315.52,1006,52,86,5.14,184,Clouds,overcast clouds,27.28,2025-03-13 09:00:00 AM
Phra Nakhon,1741899600,13.7563,100.5018,301.22,304.23,1009,72,72,3.33,179,Clouds,broken clouds,55.89,2025-03-13 09:00:00 PM
Phra Nakhon,1741860000,13.7563,100.5018,307.55,313.94,1006,54,88,4.93,180,Clouds,overcast clouds,30.35,2025-03-13 10:00:00 AM
Phra Nakhon,1741903200,13.7563,100.5018,301.16,304.24,1009,73,79,2.99,183,Clouds,broken clouds,50.92,2025-03-13 10:00:00 PM
Phra Nakhon,1741863600,13.7563,100.5018,307.07,313.14,1006,55,90,5.09,176,Clouds,overcast clouds,38.5,2025-03-13 11:00:00 AM
Phra Nakhon,1741906800,13.7563,100.5018,301.05,304.15,1010,74,83,2.63,189,Clouds,broken clouds,54.02,2025-03-13 11:00:00 PM
Phra Nakhon,1741824000,13.7563,100.5018,301.88,306.19,1009,75,64,2.88,195,Clouds,broken clouds,68.69,2025-03-13 12:00:00 AM
Phra Nakhon,1741867200,13.7563,100.5018,302.53,309.53,1008,89,82,5.53,174,Clouds,broken clouds,43.34,2025-03-13 12:00:00 PM
Phra Nakhon,1741914000,13.7563,100.5018,304.76,308.0,1011,55,100,3.09,174,Clouds,overcast clouds,83.45,2025-03-14 01:00:00 AM
Phra Nakhon,1741957200,13.7563,100.5018,302.2,305.09,1010,65,10,5.04,183,Clear,clear sky,36.99,2025-03-14 01:00:00 PM
Phra Nakhon,1741917600,13.7563,100.5018,305.87,310.03,1012,54,100,3.16,178,Clouds,overcast clouds,89.8,2025-03-14 02:00:00 AM
Phra Nakhon,1741960800,13.7563,100.5018,302.09,305.21,1011,67,25,5.51,184,Clouds,scattered clouds,47.78,2025-03-14 02:00:00 PM
Phra Nakhon,1741921200,13.7563,100.5018,306.42,310.6,1012,52,100,3.18,184,Clouds,overcast clouds,96.1,2025-03-14 03:00:00 AM
Phra Nakhon,1741964400,13.7563,100.5018,302.09,305.39,1011,68,46,5.6,185,Clouds,scattered clouds,48.24,2025-03-14 03:00:00 PM
Phra Nakhon,1741924800,13.7563,100.5018,306.98,311.85,1012,52,100,3.68,187,Clouds,overcast clouds,49.73,2025-03-14 04:00:00 AM
Phra Nakhon,1741968000,13.7563,100.5018,302.09,305.57,1011,69,47,5.67,185,Clouds,scattered clouds,43.34,2025-03-14 04:00:00 PM
Phra Nakhon,1741928400,13.7563,100.5018,307.53,313.12,1011,52,87,4.46,185,Clouds,overcast clouds,34.64,2025-03-14 05:00:00 AM