district,timestamp,lat,lon,temp,feels_like,pressure,humidity,clouds,wind_speed,wind_deg,weather_main,weather_desc,PM2_5
Phra Nakhon,1741795200,13.7563,100.5018,303.09,308.04,1009,70,94,5.93,185,Clouds,overcast clouds,36.13
Phra Nakhon,1741798800,13.7563,100.5018,302.99,308.27,1009,72,89,5.27,192,Clouds,overcast clouds,34.8
Phra Nakhon,1741802400,13.7563,100.5018,302.09,306.12,1009,72,88,4.79,197,Clouds,overcast clouds,36.31
Phra Nakhon,1741806000,13.7563,100.5018,302.09,306.5,1008,74,14,4.34,197,Clouds,few clouds,39.42
Phra Nakhon,1741809600,13.7563,100.5018,302.09,306.5,1008,74,14,3.84,194,Clouds,few clouds,42.85
Phra Nakhon,1741813200,13.7563,100.5018,302.09,306.7,1008,75,31,3.87,184,Clouds,scattered clouds,46.6
Phra Nakhon,1741816800,13.7563,100.5018,302.09,306.9,1008,76,46,3.71,186,Clouds,scattered clouds,51.59
Phra Nakhon,1741820400,13.7563,100.5018,302.09,307.1,1008,77,57,3.5,191,Clouds,broken clouds,58.07
Phra Nakhon,1741824000,13.7563,100.5018,301.88,306.19,1009,75,64,2.88,195,Clouds,broken clouds,68.69
Phra Nakhon,1741827600,13.7563,100.5018,301.12,303.5,1011,68,100,2.83,175,Clouds,overcast clouds,73.25
Phra Nakhon,1741831200,13.7563,100.5018,302.12,304.13,1011,60,100,3.55,179,Clouds,overcast clouds,70.99
Phra Nakhon,1741834800,13.7563,100.5018,305.51,312.51,1011,78,93,3.82,188,Clouds,overcast clouds,66.7
Phra Nakhon,1741838400,13.7563,100.5018,306.39,313.39,1011,68,94,4.01,190,Clouds,overcast clouds,43.16
Phra Nakhon,1741842000,13.7563,100.5018,306.42,310.92,1010,53,94,4.53,184,Rain,light rain,35.65
Phra Nakhon,1741845600,13.7563,100.5018,307.94,314.94,1008,56,92,4.77,187,Clouds,overcast clouds,32.88
Phra Nakhon,1741849200,13.7563,100.5018,308.49,315.49,1007,56,57,5.07,190,Clouds,broken clouds,31.87
Phra Nakhon,1741852800,13.7563,100.5018,308.32,315.32,1007,54,79,5.14,186,Clouds,broken clouds,30.6
Phra Nakhon,1741856400,13.7563,100.5018,308.52,315.52,1006,52,86,5.14,184,Clouds,overcast clouds,27.28
Phra Nakhon,1741860000,13.7563,100.5018,307.55,313.94,1006,54,88,4.93,180,Clouds,overcast clouds,30.35
Phra Nakhon,1741863600,13.7563,100.5018,307.07,313.14,1006,55,90,5.09,176,Clouds,overcast clouds,38.5