WERWE,WER,RWER,WER,WER,WER,WER,WER,WER,EWR,WE,WER,WER,WER
0,Phra Nakhon,1741681489,100.5018,13.7563,5,1628.88,0.62,33.24,280.38,48.64,98.99,126.15,32.17
0,Dusit,1741681900,100.5117,13.7842,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Nong Chok,1741681900,100.8659,13.8583,2,440.6,0.08,2.42,81.54,2.68,19.31,31.76,3.26
0,Bang Rak,1741681900,100.5283,13.7259,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Bang Khen,1741681900,100.5843,13.8644,5,1001.36,0.49,14.91,226.02,19.79,67.76,91.6,14.19
0,Bang Kapi,1741681901,100.6309,13.7554,3,1335.14,0.8,46.61,114.44,34.33,43.51,69.81,23.31
0,Pathum Wan,1741681901,100.5342,13.7445,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Pom Prap Sattru Phai,1741681901,100.5097,13.7504,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Phra Khanong,1741681901,100.6022,13.7088,3,1335.14,0.8,46.61,114.44,34.33,43.51,69.81,23.31
0,Min Buri,1741681902,100.755,13.8053,3,741.01,0.57,14.05,114.44,11.21,30.96,51.07,8.61
0,Lat Krabang,1741681902,100.7562,13.7262,3,1335.14,0.8,46.61,114.44,34.33,43.51,69.81,23.31
0,Yannawa,1741681902,100.5369,13.6896,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Samphanthawong,1741681902,100.5137,13.7408,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Phaya Thai,1741681902,100.5385,13.7719,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Thon Buri,1741681903,100.4907,13.7229,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Bangkok Yai,1741681903,100.4806,13.7314,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Huai Khwang,1741681903,100.5759,13.7788,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Khlong San,1741681903,100.5042,13.7348,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Taling Chan,1741681904,100.4429,13.7702,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Bangkok Noi,1741681904,100.4735,13.7634,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Bang Khun Thian,1741681904,100.4578,13.6703,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Phasi Charoen,1741681904,100.4357,13.7214,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Nong Khaem,1741681905,100.3792,13.7153,5,1255.04,0.14,10.63,243.19,24.08,98.36,134.5,15.71
0,Rat Burana,1741681905,100.4925,13.6865,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Bang Phlat,1741681905,100.5015,13.7951,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Din Daeng,1741681688,100.565,13.766,5,1628.88,0.62,33.24,280.38,48.64,98.99,126.15,32.17
0,Bueng Kum,1741681905,100.6558,13.7895,3,1335.14,0.8,46.61,114.44,34.33,43.51,69.81,23.31
0,Sathon,1741681906,100.5289,13.7211,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Bang Sue,1741681906,100.5297,13.8009,5,1001.36,0.49,14.91,226.02,19.79,67.76,91.6,14.19
0,Chatuchak,1741681906,100.5557,13.8166,5,1001.36,0.49,14.91,226.02,19.79,67.76,91.6,14.19
0,Prawet,1741681906,100.6698,13.7196,3,1335.14,0.8,46.61,114.44,34.33,43.51,69.81,23.31
0,Khlong Toei,1741681907,100.5582,13.7126,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Suan Luang,1741681907,100.6406,13.7212,3,1335.14,0.8,46.61,114.44,34.33,43.51,69.81,23.31
0,Chom Thong,1741681907,100.4674,13.6853,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Don Mueang,1741681907,100.5989,13.9125,5,1001.36,0.49,14.91,226.02,19.79,67.76,91.6,14.19
0,Ratchathewi,1741681908,100.5342,13.7547,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Lat Phrao,1741681908,100.5701,13.8078,5,1001.36,0.49,14.91,226.02,19.79,67.76,91.6,14.19
0,Watthana,1741681908,100.5847,13.7369,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Sai Mai,1741681908,100.6385,13.9248,3,741.01,0.57,14.05,114.44,11.21,30.96,51.07,8.61
0,Khan Na Yao,1741681909,100.6669,13.8159,3,741.01,0.57,14.05,114.44,11.21,30.96,51.07,8.61
0,Saphan Sung,1741681909,100.6726,13.761,3,1335.14,0.8,46.61,114.44,34.33,43.51,69.81,23.31
0,Wang Thonglang,1741681909,100.612,13.7889,3,1335.14,0.8,46.61,114.44,34.33,43.51,69.81,23.31
0,Khlong Sam Wa,1741681909,100.7351,13.8647,3,741.01,0.57,14.05,114.44,11.21,30.96,51.07,8.61
0,Phra Nakhon,1741682116,100.5018,13.7563,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Dusit,1741681900,100.5117,13.7842,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Nong Chok,1741681900,100.8659,13.8583,2,440.6,0.08,2.42,81.54,2.68,19.31,31.76,3.26
0,Bang Rak,1741681900,100.5283,13.7259,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Bang Khen,1741681900,100.5843,13.8644,5,1001.36,0.49,14.91,226.02,19.79,67.76,91.6,14.19
0,Bang Kapi,1741681901,100.6309,13.7554,3,1335.14,0.8,46.61,114.44,34.33,43.51,69.81,23.31
0,Pathum Wan,1741681901,100.5342,13.7445,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Pom Prap Sattru Phai,1741681901,100.5097,13.7504,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Phra Khanong,1741681901,100.6022,13.7088,3,1335.14,0.8,46.61,114.44,34.33,43.51,69.81,23.31
0,Min Buri,1741681902,100.755,13.8053,3,741.01,0.57,14.05,114.44,11.21,30.96,51.07,8.61
0,Lat Krabang,1741681902,100.7562,13.7262,3,1335.14,0.8,46.61,114.44,34.33,43.51,69.81,23.31
0,Yannawa,1741681902,100.5369,13.6896,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Samphanthawong,1741681902,100.5137,13.7408,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Phaya Thai,1741681902,100.5385,13.7719,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Thon Buri,1741681903,100.4907,13.7229,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Bangkok Yai,1741681903,100.4806,13.7314,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Huai Khwang,1741681903,100.5759,13.7788,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Khlong San,1741681903,100.5042,13.7348,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Taling Chan,1741681904,100.4429,13.7702,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Bangkok Noi,1741681904,100.4735,13.7634,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Bang Khun Thian,1741681904,100.4578,13.6703,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Phasi Charoen,1741681904,100.4357,13.7214,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Nong Khaem,1741681905,100.3792,13.7153,5,1255.04,0.14,10.63,243.19,24.08,98.36,134.5,15.71
0,Rat Burana,1741681905,100.4925,13.6865,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Bang Phlat,1741681905,100.5015,13.7951,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Din Daeng,1741681688,100.565,13.766,5,1628.88,0.62,33.24,280.38,48.64,98.99,126.15,32.17
0,Bueng Kum,1741681905,100.6558,13.7895,3,1335.14,0.8,46.61,114.44,34.33,43.51,69.81,23.31
0,Sathon,1741681906,100.5289,13.7211,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Bang Sue,1741681906,100.5297,13.8009,5,1001.36,0.49,14.91,226.02,19.79,67.76,91.6,14.19
0,Chatuchak,1741681906,100.5557,13.8166,5,1001.36,0.49,14.91,226.02,19.79,67.76,91.6,14.19
0,Prawet,1741681906,100.6698,13.7196,3,1335.14,0.8,46.61,114.44,34.33,43.51,69.81,23.31
0,Khlong Toei,1741681907,100.5582,13.7126,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Suan Luang,1741681907,100.6406,13.7212,3,1335.14,0.8,46.61,114.44,34.33,43.51,69.81,23.31
0,Chom Thong,1741681907,100.4674,13.6853,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Don Mueang,1741681907,100.5989,13.9125,5,1001.36,0.49,14.91,226.02,19.79,67.76,91.6,14.19
0,Ratchathewi,1741681908,100.5342,13.7547,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Lat Phrao,1741681908,100.5701,13.8078,5,1001.36,0.49,14.91,226.02,19.79,67.76,91.6,14.19
0,Watthana,1741681908,100.5847,13.7369,5,1628.88,0.55,39.41,237.47,47.68,85.39,111.2,31.41
0,Sai Mai,1741681908,100.6385,13.9248,3,741.01,0.57,14.05,114.44,11.21,30.96,51.07,8.61
0,Khan Na Yao,1741681909,100.6669,13.8159,3,741.01,0.57,14.05,114.44,11.21,30.96,51.07,8.61
0,Saphan Sung,1741681909,100.6726,13.761,3,1335.14,0.8,46.61,114.44,34.33,43.51,69.81,23.31
0,Wang Thonglang,1741681909,100.612,13.7889,3,1335.14,0.8,46.61,114.44,34.33,43.51,69.81,23.31
0,Khlong Sam Wa,1741681909,100.7351,13.8647,3,741.01,0.57,14.05,114.44,11.21,30.96,51.07,8.61
